Month,Industries_luok,Information,value
2008M09,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2008M09,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",22
2008M09,Construction,"Bankruptcies instigated, number of enterprises",59
2008M09,Trade,"Bankruptcies instigated, number of enterprises",46
2008M09,Transport and storage,"Bankruptcies instigated, number of enterprises",20
2008M09,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",23
2008M09,Other service activities,"Bankruptcies instigated, number of enterprises",64
2008M09,Industry unknown,"Bankruptcies instigated, number of enterprises",6
2008M10,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2008M10,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",29
2008M10,Construction,"Bankruptcies instigated, number of enterprises",64
2008M10,Trade,"Bankruptcies instigated, number of enterprises",60
2008M10,Transport and storage,"Bankruptcies instigated, number of enterprises",22
2008M10,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",17
2008M10,Other service activities,"Bankruptcies instigated, number of enterprises",65
2008M10,Industry unknown,"Bankruptcies instigated, number of enterprises",29
2008M11,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2008M11,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",29
2008M11,Construction,"Bankruptcies instigated, number of enterprises",49
2008M11,Trade,"Bankruptcies instigated, number of enterprises",40
2008M11,Transport and storage,"Bankruptcies instigated, number of enterprises",19
2008M11,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",21
2008M11,Other service activities,"Bankruptcies instigated, number of enterprises",74
2008M11,Industry unknown,"Bankruptcies instigated, number of enterprises",8
2008M12,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2008M12,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",19
2008M12,Construction,"Bankruptcies instigated, number of enterprises",49
2008M12,Trade,"Bankruptcies instigated, number of enterprises",29
2008M12,Transport and storage,"Bankruptcies instigated, number of enterprises",8
2008M12,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",17
2008M12,Other service activities,"Bankruptcies instigated, number of enterprises",44
2008M12,Industry unknown,"Bankruptcies instigated, number of enterprises",10
2009M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2009M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",37
2009M01,Construction,"Bankruptcies instigated, number of enterprises",76
2009M01,Trade,"Bankruptcies instigated, number of enterprises",60
2009M01,Transport and storage,"Bankruptcies instigated, number of enterprises",18
2009M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",16
2009M01,Other service activities,"Bankruptcies instigated, number of enterprises",60
2009M01,Industry unknown,"Bankruptcies instigated, number of enterprises",16
2009M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2009M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",34
2009M02,Construction,"Bankruptcies instigated, number of enterprises",84
2009M02,Trade,"Bankruptcies instigated, number of enterprises",42
2009M02,Transport and storage,"Bankruptcies instigated, number of enterprises",27
2009M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",20
2009M02,Other service activities,"Bankruptcies instigated, number of enterprises",74
2009M02,Industry unknown,"Bankruptcies instigated, number of enterprises",20
2009M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2009M03,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",47
2009M03,Construction,"Bankruptcies instigated, number of enterprises",57
2009M03,Trade,"Bankruptcies instigated, number of enterprises",52
2009M03,Transport and storage,"Bankruptcies instigated, number of enterprises",25
2009M03,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",20
2009M03,Other service activities,"Bankruptcies instigated, number of enterprises",82
2009M03,Industry unknown,"Bankruptcies instigated, number of enterprises",16
2009M04,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2009M04,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",27
2009M04,Construction,"Bankruptcies instigated, number of enterprises",68
2009M04,Trade,"Bankruptcies instigated, number of enterprises",54
2009M04,Transport and storage,"Bankruptcies instigated, number of enterprises",23
2009M04,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2009M04,Other service activities,"Bankruptcies instigated, number of enterprises",66
2009M04,Industry unknown,"Bankruptcies instigated, number of enterprises",25
2009M05,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2009M05,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",29
2009M05,Construction,"Bankruptcies instigated, number of enterprises",67
2009M05,Trade,"Bankruptcies instigated, number of enterprises",56
2009M05,Transport and storage,"Bankruptcies instigated, number of enterprises",26
2009M05,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",16
2009M05,Other service activities,"Bankruptcies instigated, number of enterprises",72
2009M05,Industry unknown,"Bankruptcies instigated, number of enterprises",21
2009M06,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",2
2009M06,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",36
2009M06,Construction,"Bankruptcies instigated, number of enterprises",67
2009M06,Trade,"Bankruptcies instigated, number of enterprises",55
2009M06,Transport and storage,"Bankruptcies instigated, number of enterprises",20
2009M06,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",17
2009M06,Other service activities,"Bankruptcies instigated, number of enterprises",85
2009M06,Industry unknown,"Bankruptcies instigated, number of enterprises",9
2009M07,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2009M07,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",24
2009M07,Construction,"Bankruptcies instigated, number of enterprises",60
2009M07,Trade,"Bankruptcies instigated, number of enterprises",29
2009M07,Transport and storage,"Bankruptcies instigated, number of enterprises",22
2009M07,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",10
2009M07,Other service activities,"Bankruptcies instigated, number of enterprises",46
2009M07,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2009M08,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2009M08,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",38
2009M08,Construction,"Bankruptcies instigated, number of enterprises",63
2009M08,Trade,"Bankruptcies instigated, number of enterprises",51
2009M08,Transport and storage,"Bankruptcies instigated, number of enterprises",25
2009M08,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2009M08,Other service activities,"Bankruptcies instigated, number of enterprises",58
2009M08,Industry unknown,"Bankruptcies instigated, number of enterprises",38
2009M09,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2009M09,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",21
2009M09,Construction,"Bankruptcies instigated, number of enterprises",47
2009M09,Trade,"Bankruptcies instigated, number of enterprises",47
2009M09,Transport and storage,"Bankruptcies instigated, number of enterprises",25
2009M09,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",12
2009M09,Other service activities,"Bankruptcies instigated, number of enterprises",57
2009M09,Industry unknown,"Bankruptcies instigated, number of enterprises",38
2009M10,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2009M10,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",32
2009M10,Construction,"Bankruptcies instigated, number of enterprises",70
2009M10,Trade,"Bankruptcies instigated, number of enterprises",44
2009M10,Transport and storage,"Bankruptcies instigated, number of enterprises",23
2009M10,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",18
2009M10,Other service activities,"Bankruptcies instigated, number of enterprises",71
2009M10,Industry unknown,"Bankruptcies instigated, number of enterprises",36
2009M11,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2009M11,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",27
2009M11,Construction,"Bankruptcies instigated, number of enterprises",50
2009M11,Trade,"Bankruptcies instigated, number of enterprises",39
2009M11,Transport and storage,"Bankruptcies instigated, number of enterprises",18
2009M11,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2009M11,Other service activities,"Bankruptcies instigated, number of enterprises",50
2009M11,Industry unknown,"Bankruptcies instigated, number of enterprises",36
2009M12,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2009M12,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",23
2009M12,Construction,"Bankruptcies instigated, number of enterprises",45
2009M12,Trade,"Bankruptcies instigated, number of enterprises",41
2009M12,Transport and storage,"Bankruptcies instigated, number of enterprises",14
2009M12,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",11
2009M12,Other service activities,"Bankruptcies instigated, number of enterprises",54
2009M12,Industry unknown,"Bankruptcies instigated, number of enterprises",41
2010M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2010M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",27
2010M01,Construction,"Bankruptcies instigated, number of enterprises",71
2010M01,Trade,"Bankruptcies instigated, number of enterprises",42
2010M01,Transport and storage,"Bankruptcies instigated, number of enterprises",25
2010M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2010M01,Other service activities,"Bankruptcies instigated, number of enterprises",65
2010M01,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2010M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2010M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",24
2010M02,Construction,"Bankruptcies instigated, number of enterprises",70
2010M02,Trade,"Bankruptcies instigated, number of enterprises",52
2010M02,Transport and storage,"Bankruptcies instigated, number of enterprises",25
2010M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",25
2010M02,Other service activities,"Bankruptcies instigated, number of enterprises",48
2010M02,Industry unknown,"Bankruptcies instigated, number of enterprises",16
2010M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2010M03,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",29
2010M03,Construction,"Bankruptcies instigated, number of enterprises",73
2010M03,Trade,"Bankruptcies instigated, number of enterprises",50
2010M03,Transport and storage,"Bankruptcies instigated, number of enterprises",28
2010M03,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",10
2010M03,Other service activities,"Bankruptcies instigated, number of enterprises",70
2010M03,Industry unknown,"Bankruptcies instigated, number of enterprises",26
2010M04,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2010M04,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2010M04,Construction,"Bankruptcies instigated, number of enterprises",47
2010M04,Trade,"Bankruptcies instigated, number of enterprises",40
2010M04,Transport and storage,"Bankruptcies instigated, number of enterprises",18
2010M04,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",16
2010M04,Other service activities,"Bankruptcies instigated, number of enterprises",55
2010M04,Industry unknown,"Bankruptcies instigated, number of enterprises",6
2010M05,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2010M05,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",31
2010M05,Construction,"Bankruptcies instigated, number of enterprises",64
2010M05,Trade,"Bankruptcies instigated, number of enterprises",28
2010M05,Transport and storage,"Bankruptcies instigated, number of enterprises",24
2010M05,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",18
2010M05,Other service activities,"Bankruptcies instigated, number of enterprises",47
2010M05,Industry unknown,"Bankruptcies instigated, number of enterprises",8
2010M06,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2010M06,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",28
2010M06,Construction,"Bankruptcies instigated, number of enterprises",52
2010M06,Trade,"Bankruptcies instigated, number of enterprises",43
2010M06,Transport and storage,"Bankruptcies instigated, number of enterprises",18
2010M06,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",25
2010M06,Other service activities,"Bankruptcies instigated, number of enterprises",75
2010M06,Industry unknown,"Bankruptcies instigated, number of enterprises",11
2010M07,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2010M07,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",16
2010M07,Construction,"Bankruptcies instigated, number of enterprises",37
2010M07,Trade,"Bankruptcies instigated, number of enterprises",32
2010M07,Transport and storage,"Bankruptcies instigated, number of enterprises",16
2010M07,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2010M07,Other service activities,"Bankruptcies instigated, number of enterprises",34
2010M07,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2010M08,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2010M08,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",29
2010M08,Construction,"Bankruptcies instigated, number of enterprises",62
2010M08,Trade,"Bankruptcies instigated, number of enterprises",47
2010M08,Transport and storage,"Bankruptcies instigated, number of enterprises",18
2010M08,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",16
2010M08,Other service activities,"Bankruptcies instigated, number of enterprises",44
2010M08,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2010M09,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",0
2010M09,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2010M09,Construction,"Bankruptcies instigated, number of enterprises",74
2010M09,Trade,"Bankruptcies instigated, number of enterprises",42
2010M09,Transport and storage,"Bankruptcies instigated, number of enterprises",27
2010M09,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",20
2010M09,Other service activities,"Bankruptcies instigated, number of enterprises",64
2010M09,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2010M10,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2010M10,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2010M10,Construction,"Bankruptcies instigated, number of enterprises",58
2010M10,Trade,"Bankruptcies instigated, number of enterprises",47
2010M10,Transport and storage,"Bankruptcies instigated, number of enterprises",22
2010M10,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",19
2010M10,Other service activities,"Bankruptcies instigated, number of enterprises",69
2010M10,Industry unknown,"Bankruptcies instigated, number of enterprises",5
2010M11,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2010M11,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",26
2010M11,Construction,"Bankruptcies instigated, number of enterprises",70
2010M11,Trade,"Bankruptcies instigated, number of enterprises",43
2010M11,Transport and storage,"Bankruptcies instigated, number of enterprises",16
2010M11,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",24
2010M11,Other service activities,"Bankruptcies instigated, number of enterprises",57
2010M11,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2010M12,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2010M12,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",36
2010M12,Construction,"Bankruptcies instigated, number of enterprises",61
2010M12,Trade,"Bankruptcies instigated, number of enterprises",32
2010M12,Transport and storage,"Bankruptcies instigated, number of enterprises",14
2010M12,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",11
2010M12,Other service activities,"Bankruptcies instigated, number of enterprises",64
2010M12,Industry unknown,"Bankruptcies instigated, number of enterprises",8
2011M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2011M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",30
2011M01,Construction,"Bankruptcies instigated, number of enterprises",89
2011M01,Trade,"Bankruptcies instigated, number of enterprises",60
2011M01,Transport and storage,"Bankruptcies instigated, number of enterprises",27
2011M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",17
2011M01,Other service activities,"Bankruptcies instigated, number of enterprises",70
2011M01,Industry unknown,"Bankruptcies instigated, number of enterprises",12
2011M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2011M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",23
2011M02,Construction,"Bankruptcies instigated, number of enterprises",76
2011M02,Trade,"Bankruptcies instigated, number of enterprises",55
2011M02,Transport and storage,"Bankruptcies instigated, number of enterprises",21
2011M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",25
2011M02,Other service activities,"Bankruptcies instigated, number of enterprises",62
2011M02,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2011M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2011M03,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2011M03,Construction,"Bankruptcies instigated, number of enterprises",77
2011M03,Trade,"Bankruptcies instigated, number of enterprises",56
2011M03,Transport and storage,"Bankruptcies instigated, number of enterprises",34
2011M03,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",25
2011M03,Other service activities,"Bankruptcies instigated, number of enterprises",66
2011M03,Industry unknown,"Bankruptcies instigated, number of enterprises",6
2011M04,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2011M04,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",18
2011M04,Construction,"Bankruptcies instigated, number of enterprises",57
2011M04,Trade,"Bankruptcies instigated, number of enterprises",43
2011M04,Transport and storage,"Bankruptcies instigated, number of enterprises",23
2011M04,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2011M04,Other service activities,"Bankruptcies instigated, number of enterprises",61
2011M04,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2011M05,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2011M05,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",30
2011M05,Construction,"Bankruptcies instigated, number of enterprises",65
2011M05,Trade,"Bankruptcies instigated, number of enterprises",55
2011M05,Transport and storage,"Bankruptcies instigated, number of enterprises",32
2011M05,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",22
2011M05,Other service activities,"Bankruptcies instigated, number of enterprises",63
2011M05,Industry unknown,"Bankruptcies instigated, number of enterprises",6
2011M06,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2011M06,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",18
2011M06,Construction,"Bankruptcies instigated, number of enterprises",62
2011M06,Trade,"Bankruptcies instigated, number of enterprises",48
2011M06,Transport and storage,"Bankruptcies instigated, number of enterprises",22
2011M06,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2011M06,Other service activities,"Bankruptcies instigated, number of enterprises",59
2011M06,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2011M07,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2011M07,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",13
2011M07,Construction,"Bankruptcies instigated, number of enterprises",38
2011M07,Trade,"Bankruptcies instigated, number of enterprises",25
2011M07,Transport and storage,"Bankruptcies instigated, number of enterprises",15
2011M07,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",8
2011M07,Other service activities,"Bankruptcies instigated, number of enterprises",35
2011M07,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2011M08,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2011M08,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",33
2011M08,Construction,"Bankruptcies instigated, number of enterprises",68
2011M08,Trade,"Bankruptcies instigated, number of enterprises",36
2011M08,Transport and storage,"Bankruptcies instigated, number of enterprises",21
2011M08,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2011M08,Other service activities,"Bankruptcies instigated, number of enterprises",74
2011M08,Industry unknown,"Bankruptcies instigated, number of enterprises",5
2011M09,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2011M09,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2011M09,Construction,"Bankruptcies instigated, number of enterprises",73
2011M09,Trade,"Bankruptcies instigated, number of enterprises",52
2011M09,Transport and storage,"Bankruptcies instigated, number of enterprises",14
2011M09,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",21
2011M09,Other service activities,"Bankruptcies instigated, number of enterprises",64
2011M09,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2011M10,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",10
2011M10,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",27
2011M10,Construction,"Bankruptcies instigated, number of enterprises",64
2011M10,Trade,"Bankruptcies instigated, number of enterprises",41
2011M10,Transport and storage,"Bankruptcies instigated, number of enterprises",22
2011M10,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",18
2011M10,Other service activities,"Bankruptcies instigated, number of enterprises",66
2011M10,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2011M11,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",12
2011M11,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",27
2011M11,Construction,"Bankruptcies instigated, number of enterprises",55
2011M11,Trade,"Bankruptcies instigated, number of enterprises",46
2011M11,Transport and storage,"Bankruptcies instigated, number of enterprises",18
2011M11,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",24
2011M11,Other service activities,"Bankruptcies instigated, number of enterprises",54
2011M11,Industry unknown,"Bankruptcies instigated, number of enterprises",6
2011M12,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2011M12,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",31
2011M12,Construction,"Bankruptcies instigated, number of enterprises",39
2011M12,Trade,"Bankruptcies instigated, number of enterprises",33
2011M12,Transport and storage,"Bankruptcies instigated, number of enterprises",17
2011M12,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2011M12,Other service activities,"Bankruptcies instigated, number of enterprises",51
2011M12,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2012M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2012M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",31
2012M01,Construction,"Bankruptcies instigated, number of enterprises",76
2012M01,Trade,"Bankruptcies instigated, number of enterprises",49
2012M01,Transport and storage,"Bankruptcies instigated, number of enterprises",21
2012M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",21
2012M01,Other service activities,"Bankruptcies instigated, number of enterprises",77
2012M01,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2012M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2012M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",36
2012M02,Construction,"Bankruptcies instigated, number of enterprises",82
2012M02,Trade,"Bankruptcies instigated, number of enterprises",47
2012M02,Transport and storage,"Bankruptcies instigated, number of enterprises",19
2012M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",13
2012M02,Other service activities,"Bankruptcies instigated, number of enterprises",67
2012M02,Industry unknown,"Bankruptcies instigated, number of enterprises",5
2012M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2012M03,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",34
2012M03,Construction,"Bankruptcies instigated, number of enterprises",89
2012M03,Trade,"Bankruptcies instigated, number of enterprises",48
2012M03,Transport and storage,"Bankruptcies instigated, number of enterprises",18
2012M03,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",19
2012M03,Other service activities,"Bankruptcies instigated, number of enterprises",70
2012M03,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2012M04,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2012M04,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",28
2012M04,Construction,"Bankruptcies instigated, number of enterprises",55
2012M04,Trade,"Bankruptcies instigated, number of enterprises",22
2012M04,Transport and storage,"Bankruptcies instigated, number of enterprises",23
2012M04,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2012M04,Other service activities,"Bankruptcies instigated, number of enterprises",60
2012M04,Industry unknown,"Bankruptcies instigated, number of enterprises",8
2012M05,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",10
2012M05,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",32
2012M05,Construction,"Bankruptcies instigated, number of enterprises",64
2012M05,Trade,"Bankruptcies instigated, number of enterprises",65
2012M05,Transport and storage,"Bankruptcies instigated, number of enterprises",27
2012M05,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2012M05,Other service activities,"Bankruptcies instigated, number of enterprises",81
2012M05,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2012M06,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2012M06,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",28
2012M06,Construction,"Bankruptcies instigated, number of enterprises",54
2012M06,Trade,"Bankruptcies instigated, number of enterprises",50
2012M06,Transport and storage,"Bankruptcies instigated, number of enterprises",23
2012M06,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",19
2012M06,Other service activities,"Bankruptcies instigated, number of enterprises",57
2012M06,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2012M07,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",2
2012M07,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",14
2012M07,Construction,"Bankruptcies instigated, number of enterprises",55
2012M07,Trade,"Bankruptcies instigated, number of enterprises",25
2012M07,Transport and storage,"Bankruptcies instigated, number of enterprises",21
2012M07,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",11
2012M07,Other service activities,"Bankruptcies instigated, number of enterprises",51
2012M07,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2012M08,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",14
2012M08,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",39
2012M08,Construction,"Bankruptcies instigated, number of enterprises",76
2012M08,Trade,"Bankruptcies instigated, number of enterprises",54
2012M08,Transport and storage,"Bankruptcies instigated, number of enterprises",25
2012M08,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",18
2012M08,Other service activities,"Bankruptcies instigated, number of enterprises",81
2012M08,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2012M09,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",11
2012M09,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",21
2012M09,Construction,"Bankruptcies instigated, number of enterprises",52
2012M09,Trade,"Bankruptcies instigated, number of enterprises",34
2012M09,Transport and storage,"Bankruptcies instigated, number of enterprises",18
2012M09,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",12
2012M09,Other service activities,"Bankruptcies instigated, number of enterprises",69
2012M09,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2012M10,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2012M10,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",32
2012M10,Construction,"Bankruptcies instigated, number of enterprises",63
2012M10,Trade,"Bankruptcies instigated, number of enterprises",46
2012M10,Transport and storage,"Bankruptcies instigated, number of enterprises",28
2012M10,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",19
2012M10,Other service activities,"Bankruptcies instigated, number of enterprises",72
2012M10,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2012M11,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2012M11,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",12
2012M11,Construction,"Bankruptcies instigated, number of enterprises",53
